"Coluna A","Coluna B","Coluna C"
737,469,211
759,314,446
846,859,350
517,622,348
119,468,869
840,394,648
583,996,161
705,197,384
687,669,394
163,150,106
659,334,150
591,422,104
889,897,341
203,607,922
789,287,219
554,726,590
210,646,371
348,217,705
263,180,320
680,422,428
931,507,483
372,831,722
518,658,347
236,827,453
732,347,445
105,350,194
620,577,449
112,726,567
716,117,497
724,622,287
901,334,940
803,541,944
768,305,850
879,120,953
998,441,799
179,401,127
444,178,936
692,640,252
480,528,743
334,588,601
958,331,584
128,953,185
172,746,768
479,531,609
997,440,954
457,547,225
114,179,297
749,120,777
380,161,220
366,773,578
667,119,506
392,212,121
615,158,479
848,357,189
342,402,278
215,937,458
579,216,507
204,661,825
398,517,525
897,112,112
547,809,539
687,983,360
714,190,962
620,184,490
154,808,917
453,996,814
706,858,972
411,967,702
884,410,375
911,660,258
526,833,242
760,478,731
906,167,619
269,593,168
637,185,434
814,735,685
678,207,725
691,337,358
420,530,349
316,759,354
615,179,335
108,487,597
924,409,871
708,326,226
804,886,612
301,154,719
479,257,550
209,301,211
447,759,321
669,324,740
999,239,971
568,796,639
207,891,145
322,339,602
120,967,851
470,477,460
153,234,264
108,302,436
930,157,222
562,121,470
